Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Time-aware Subgroup Matrix Decomposition: Imputing Missing Data Using Forecasting Events,"Yang, X.; Zhang, Y.; Chi, M.; Song, Y.; Liu, B.; Lee, K.; Abe, N.; Pu, C.; Qiao, M.; Ahmed, N.; Kossmann, D.; Saltz, J.; Tang, J.; He, J.; Liu, H.; Hu, X.; Baidu,; Expedia, Group; Ieee,; Ieee Computer Society; Squirrel, A. I. Learning; et al.,","Deep neural network models, especially Long Short Term Memory (LSTM), have shown great success in analyzing Electronic Health Records (EHRs) due to their ability to capture temporal dependencies in time series data. When applying the deep learning models to EHRs, we are generally confronted with two major challenges: high rate of missingness and time irregularity. Motivated by the original PACIFIER framework which utilized matrix decomposition for data imputation, we applied and further extended it by including three components: forecasting future events, a time-aware mechanism, and a subgroup basis approach. We evaluated the proposed framework with real-world EHRs which consists of 52,919 visits and 4,224,567 events on a task of early prediction of septic shock. We compared our work against multiple baselines including the original PACIFIER using both LSTM and Time-aware LSTM (T-LSTM). Experimental results showed that our proposed framework significantly outperformed all competitive baseline approaches. More importantly, the extracted interpretative latent patterns from subgroups could shed some lights for clinicians to discover the progression of septic shock patients. © 2018 IEEE.",2019,,"2018 IEEE International Conference on Big Data, Big Data 2018",,,1524-1533,,10.1109/BigData.2018.8622436,,#5790,Yang 2019,"",""
Class-Modeling of Septic Shock With Hyperdimensional Computing,"Watkinson, N. D.; Givargis, T.; Joe, V.; Nicolau, A.; Veidenbaum, A.","Sepsis arises when a patients immune system has an extreme reaction to an infection. This is followed by septic shock if damage to organ tissue is so extensive that it causes a total systemic failure. Early detection of septic shock among septic patients could save critical time for preparation and prevention treatment. Due to the high variance in symptoms and patient state before shock, it is challenging to create a protocol that would be effective across patients. However, since septic shock is an acute change in patient state, modeling patient stability could be more effective in detecting a condition that departs from it. In this paper we present a one-class classification approach to septic shock using hyperdimensional computing. We built various models that consider different contexts and can be adapted according to a target priority. Among septic patients, the models can detect septic shock accurately with 90% sensitivity and overall accuracy of 60% of the cases up to three hours before the onset of septic shock, with the ability to adjust predictions according to incoming data. Additionally, the models can be easily adapted to prioritize sensitivity (increase true positives) or specificity (decrease false positives).",2021,,,,,,,,,#6130,Watkinson 2021,Finneas Catling (2022-04-27 02:42:25)(Included): Very poorly written paper (maybe an undergrad assignment?) but I can't find a reason to exclude it. Agree that there doesn't seem to be any model validation ; Finneas Catling (2022-04-27 00:35:50)(Included): FC to coextract; ,""
Trading-Off Cost of Deployment Versus Accuracy in Learning Predictive Models,"Robinson, Daniel P.; Saria, Suchi","Predictive models are finding an increasing number of applications in many industries. As a result, a practical means for trading-off the cost of deploying a model versus its effectiveness is needed. Our work is motivated by risk prediction problems in healthcare. Cost-structures in domains such as healthcare are quite complex, posing a significant challenge to existing approaches. We propose a novel framework for designing cost-sensitive structured regularizers that is suitable for problems with complex cost dependencies. We draw upon a surprising connection to boolean circuits. In particular, we represent the problem costs as a multi-layer boolean circuit, and then use properties of boolean circuits to define an extended feature vector and a group regularizer that exactly captures the underlying cost structure. The resulting regularizer may then be combined with a fidelity function to perform model prediction, for example. For the challenging real-world application of risk prediction for sepsis in intensive care units, the use of our regularizer leads to models that are in harmony with the underlying cost structure and thus provide an excellent prediction accuracy versus cost tradeoff.",2016,,,,,,,,,#9,Robinson 2016,"",""
Individualized resuscitation strategy for septic shock formalized by finite mixture modeling and dynamic treatment regimen,"Ma, Penglin; Liu, Jingtao; Shen, Feng; Liao, Xuelian; Xiu, Ming; Zhao, Heling; Zhao, Mingyan; Xie, Jing; Wang, Peng; Huang, Man; Li, Tong; Duan, Meili; Qian, Kejian; Peng, Yue; Zhou, Feihu; Xin, Xin; Wan, Xianyao; Wang, ZongYu; Li, Shusheng; Han, Jianwei; Li, Zhenliang; Ding, Guolei; Deng, Qun; Zhang, Jicheng; Zhu, Yue; Ma, Wenjing; Wang, Jingwen; Kang, Yan; Zhang, Zhongheng","Background: Septic shock comprises a heterogeneous population, and individualized resuscitation strategy is of vital importance. The study aimed to identify subclasses of septic shock with non-supervised learning algorithms, so as to tailor resuscitation strategy for each class. Method(s): Patients with septic shock in 25 tertiary care teaching hospitals in China from January 2016 to December 2017 were enrolled in the study. Clinical and laboratory variables were collected on days 0, 1, 2, 3 and 7 after ICU admission. Subclasses of septic shock were identified by both finite mixture modeling and K-means clustering. Individualized fluid volume and norepinephrine dose were estimated using dynamic treatment regime (DTR) model to optimize the final mortality outcome. DTR models were validated in the eICU Collaborative Research Database (eICU-CRD) dataset. Result(s): A total of 1437 patients with a mortality rate of 29% were included for analysis. The finite mixture modeling and K-means clustering robustly identified five classes of septic shock. Class 1 (baseline class) accounted for the majority of patients over all days; class 2 (critical class) had the highest severity of illness; class 3 (renal dysfunction) was characterized by renal dysfunction; class 4 (respiratory failure class) was characterized by respiratory failure; and class 5 (mild class) was characterized by the lowest mortality rate (21%). The optimal fluid infusion followed the resuscitation/de-resuscitation phases with initial large volume infusion and late restricted volume infusion. While class 1 transitioned to de-resuscitation phase on day 3, class 3 transitioned on day 1. Classes 1 and 3 might benefit from early use of norepinephrine, and class 2 can benefit from delayed use of norepinephrine while waiting for adequate fluid infusion. Conclusion(s): Septic shock comprises a heterogeneous population that can be robustly classified into five phenotypes. These classes can be easily identified with routine clinical variables and can help to tailor resuscitation strategy in the context of precise medicine.Copyright © 2021, The Author(s).",2021,,Critical Care,25,1,243,,http://dx.doi.org/10.1186/s13054-021-03682-7,,#3808,Ma 2021,"",""
The Actor Search Tree Critic (ASTC) for Off-Policy POMDP Learning in Medical Decision Making,"Li, Luchen; Komorowski, Matthieu; Faisal, Aldo A.","Off-policy reinforcement learning enables near-optimal policy from suboptimal experience, thereby provisions opportunity for artificial intelligence applications in healthcare. Previous works have mainly framed patient-clinician interactions as Markov decision processes, while true physiological states are not necessarily fully observable from clinical data. We capture this situation with partially observable Markov decision process, in which an agent optimises its actions in a belief represented as a distribution of patient states inferred from individual history trajectories. A Gaussian mixture model is fitted for the observed data. Moreover, we take into account the fact that nuance in pharmaceutical dosage could presumably result in significantly different effect by modelling a continuous policy through a Gaussian approximator directly in the policy space, i.e. the actor. To address the challenge of infinite number of possible belief states which renders exact value iteration intractable, we evaluate and plan for only every encountered belief, through heuristic search tree by tightly maintaining lower and upper bounds of the true value of belief. We further resort to function approximations to update value bounds estimation, i.e. the critic, so that the tree search can be improved through more compact bounds at the fringe nodes that will be back-propagated to the root. Both actor and critic parameters are learned via gradient-based approaches. Our proposed policy trained from real intensive care unit data is capable of dictating dosing on vasopressors and intravenous fluids for sepsis patients that lead to the best patient outcomes.",2018,,,,,,,,,#26,Li 2018,"",""
Safety-driven design of machine learning for sepsis treatment,"Jia, Yan; McDermid, John; Habli, Ibrahim; Lawton, Tom; Burden, John","Machine learning (ML) has the potential to bring significant clinical benefits. However, there are patient safety challenges in introducing ML in complex healthcare settings and in assuring the technology to the satisfaction of the different regulators. The work presented in this paper tackles the urgent problem of proactively assuring ML in its clinical context as a step towards enabling the safe introduction of ML into clinical practice. In particular, the paper considers the use of deep Reinforcement Learning, a type of ML, for sepsis treatment. The methodology starts with the modelling of a clinical workflow that integrates the ML model for sepsis treatment recommendations. Then safety analysis is carried out based on the clinical workflow, identifying hazards and safety requirements for the ML model. In this paper the design of the ML model is enhanced to satisfy the safety requirements for mitigating a major clinical hazard: sudden change of vasopressor dose. A rigorous evaluation is conducted to show how these requirements are met. A safety case is presented, providing a basis for regulators to make a judgement on the acceptability of introducing the ML model into sepsis treatment in a healthcare setting. The overall argument is broad in considering the wider patient safety considerations, but the detailed rationale and supporting evidence presented relate to this specific hazard. Whilst there are no agreed regulatory approaches to introducing ML into healthcare, the work presented in this paper has shown a possible direction for overcoming this barrier and exploit the benefits of ML without compromising safety.Copyright © 2021 Elsevier Inc.",2021,,Journal of Biomedical Informatics,117,,103762,,http://dx.doi.org/10.1016/j.jbi.2021.103762,,#3775,Jia 2021,"",""
Pulse pressure variation and prediction of fluid responsiveness in patients ventilated with low tidal volumes,"de Oliveira-Costa, C. D. A.; Friedman, G.; Vieira, S. R. R.; Fialkow, L.","Objective: To determine the utility of pulse pressure variation (ΔRESPPP) in predicting fluid responsiveness in patients ventilated with low tidal volumes (VT) and to investigate whether a lower ΔRESPPP cut-off value should be used when patients are ventilated with low tidal volumes. Method: This cross-sectional observational study included 37 critically ill patients with acute circulatory failure who required fluid challenge. The patients were sedated and mechanically ventilated with a VT of 6-7 ml/kg ideal body weight, which was monitored with a pulmonary artery catheter and an arterial line. The mechanical ventilation and hemodynamic parameters, including ΔRESPPP, were measured before and after fluid challenge with 1,000 ml crystalloids or 500 ml colloids. Fluid responsiveness was defined as an increase in the cardiac index of at least 15%. ClinicalTrial.gov: NCT01569308. Results: A total of 17 patients were classified as responders. Analysis of the area under the ROC curve (AUC) showed that the optimal cut-off point for ΔRESPPP to predict fluid responsiveness was 10% (AUC = 0.74). Adjustment of the ΔRESPPP to account for driving pressure did not improve the accuracy (AUC = 0.76). A ΔRESPPP&gt;10% was a better predictor of fluid responsiveness than central venous pressure (AUC = 0.57) or pulmonary wedge pressure (AUC = 051). Of the 37 patients, 25 were in septic shock. The AUC for ΔRESPPP&gt;10% to predict responsiveness in patients with septic shock was 0.484 (sensitivity, 78%; specificity, 93%). Conclusion: The parameter DRESPPP has limited value in predicting fluid responsiveness in patients who are ventilated with low tidal volumes, but a ΔRESPPP&gt;10% is a significant improvement over static parameters. A ΔRESPPP &gt; 10% may be particularly useful for identifying responders in patients with septic shock. © 2012 CLINICS.",2012,,Clinics,67,7,773-778,,10.6061/clinics/2012(07)12,,#5173,deOliveira-Costa 2012,"Finneas Catling (2022-02-07 22:59:12)(Select): I suppose you could call it data driven, as they used data to determine the optimum PPV threshold for predicting fluid responsiveness; Myura Nagendran (2022-01-18 02:38:02)(Select): can discuss when we meet. I would exclude. vent parameters included but not really data driven per se. see their stats analysis section in the paper -> essentially just roc curves and t-tests etc; ",""
Model-Based Reinforcement Learning for Sepsis Treatment,"Raghu, Aniruddh; Komorowski, Matthieu; Singh, Sumeetpal","Sepsis is a dangerous condition that is a leading cause of patient mortality. Treating sepsis is highly challenging, because individual patients respond very differently to medical interventions and there is no universally agreed-upon treatment for sepsis. In this work, we explore the use of continuous state-space model-based reinforcement learning (RL) to discover high-quality treatment policies for sepsis patients. Our quantitative evaluation reveals that by blending the treatment strategy discovered with RL with what clinicians follow, we can obtain improved policies, potentially allowing for better medical treatment for sepsis.",2018,,,,,,,,,#32,Raghu 2018,"",""
Predicting progression to septic shock in the emergency department using an externally generalizable machine learning algorithm,"Wardi, Gabriel; Carlile, Morgan; Holder, Andre; Shashikumar, Supreeth; Hayden, Stephen R.; Nemati, Shamim","Objective: Machine-learning (ML) algorithms allow for improved prediction of sepsis syndromes in the ED using data from electronic medical records. Transfer learning, a new subfield of ML, allows for generalizability of an algorithm across clinical sites. We aimed to validate the Artificial Intelligence Sepsis Expert (AISE) for the prediction of delayed septic shock in a cohort of patients treated in the ED and demonstrate the feasibility of transfer learning to improve external validity at a second site., Methods: Observational cohort study utilizing data from over 180,000 patients from two academic medical centers between 2014 and 2019 using multiple definitions of sepsis. The AISE algorithm was trained using 40 input variables at the development site to predict delayed septic shock (occurring greater than 4 hours after ED triage) at varying prediction windows. We then validated the AISE algorithm at a second site using transfer learning to demonstrate generalizability of the algorithm., Results: We identified 9354 patients with severe sepsis of which 723 developed septic shock at least 4 hours after triage. The AISE algorithm demonstrated excellent area under the receiver operating curve (>0.8) at 8 and 12 hours for the prediction of delayed septic shock. Transfer learning significantly improved the test characteristics of the AISE algorithm and yielded comparable performance at the validation site., Conclusions: The AISE algorithm accurately predicted the development of delayed septic shock. The use of transfer learning allowed for significantly improved external validity and generalizability at a second site. Future prospective studies are indicated to evaluate the clinical utility of this model.",2020,,medRxiv : the preprint server for health sciences,,,,,https://dx.doi.org/10.1101/2020.11.02.20224931,,#4685,Wardi 2020,Zuzanna Bien (2022-02-04 21:46:19)(Select): used severe sepsis and sepsis-3 criteria - include? ; ,""
Improving Sepsis Treatment Strategies by Combining Deep and Kernel-Based Reinforcement Learning,"Peng, Xuefeng; Wihl, David; Gottesman, Omer; Ross, Andrew; Doshi-Velez, Finale; Ding, Yi; Komorowski, Matthieu; Faisal, Aldo; Lehman, Li-Wei H.","Sepsis is the leading cause of mortality in the ICU. It is challenging to manage because individual patients respond differently to treatment. Thus, tailoring treatment to the individual patient is essential for the best outcomes. In this paper, we take steps toward this goal by applying a mixture-of-experts framework to personalize sepsis treatment. The mixture model selectively alternates between neighbor-based (kernel) and deep reinforcement learning (DRL) experts depending on patient's current history. On a large retrospective cohort, this mixture-based approach outperforms physician, kernel only, and DRL-only experts.",2018,,AMIA ... Annual Symposium proceedings. AMIA Symposium,2018,,887-896,,,,#2871,Peng 2018,Matthieu Komorowski (2022-04-25 22:33:11)(Included): it's a duplicate !; ,""
Physiology-Informed Real-Time Mean Arterial Blood Pressure Learning and Prediction for Septic Patients Receiving Norepinephrine,"Tang, Yi; Brown, Samuel M.; Sorensen, Jeff; Harley, Joel B.","Objective: Septic shock is a life-threatening manifestation of infection with a mortality of 20-50% [1]. A catecholamine vasopressor, norepinephrine (NE), is widely used to treat septic shock primarily by increasing blood pressure. For this reason, future blood pressure knowledge is invaluable for properly controlling NE infusion rates in septic patients. However, recent machine learning and data-driven methods often treat the physiological effects of NE as a black box. In this paper, a real-time, physiology-informed human mean arterial blood pressure model for septic shock patients undergoing NE infusion is studied. Method(s): Our methods combine learning theory, adaptive filter theory, and physiology. We learn least mean square adaptive filters to predict three physiological parameters (heart rate, pulse pressure, and the product of total arterial compliance and arterial resistance) from previous data and previous NE infusion rate. These predictions are combined according to a physiology model to predict future mean arterial blood pressure. Result(s): Our model successfully forecasts mean arterial blood pressure on 30 septic patients from two databases. Specifically, we predict mean arterial blood pressure 3.33 minutes to 20 minutes into the future with a root mean square error from 3.56 mmHg to 6.22 mmHg. Additionally, we compare the computational cost of different models and discover a correlation between learned NE response models and a patient's SOFA score. Conclusion(s): Our approach advances our capability to predict the effects of changing NE infusion rates in septic patients. Significance: More accurately predicted MAP can lessen clinicians' workload and reduce error in NE titration.Copyright © 1964-2012 IEEE.",2021,,IEEE Transactions on Biomedical Engineering,68,1,181-191,,http://dx.doi.org/10.1109/TBME.2020.2997929,,#3885,Tang 2021,Finneas Catling (2022-02-08 01:45:20)(Select): Very similar to 'Reduced Rank Least Squares for Real-Time Short Term Estimation of Mean Arterial Blood Pressure in Septic Patients Receiving Norepinephrine' which we have already included; ,""
A machine learning approach for predicting urine output after fluid administration,"Lin, Pei-Chen; Huang, Hsu-Cheng; Komorowski, Matthieu; Lin, Wei-Kai; Chang, Chun-Min; Chen, Kuan-Ta; Li, Yu-Chuan; Lin, Ming-Chin","Background and objective: To develop a machine learning model to predict urine output (UO)in sepsis patients after fluid resuscitation. Method(s): We identified sepsis patients in the Multiparameter Intelligent Monitoring in Intensive Care-III v1.4 database according to the Sepsis-3 criteria. We focused on two outcomes: whether the UO decreased after fluid administration and whether oliguria (defined as UO less than the threshold of 0.5 mL/kg/h)developed. A gradient tree-based machine learning model implemented with an eXtreme Gradient Boosting algorithm was used to integrate relevant physiological parameters for predicting the aforementioned outcomes. A confusion matrix was computed. Result(s): A total of 232,929 events in 19,275 patients were included. Using decreased UO as the outcome measure, the optimal model achieved an area under the curve (AUC)of 0.86; for predicting oliguria, most models achieved an AUC greater than 0.86, and the highest sensitivity was 92.2% when the model was applied to patients with baseline oliguria. Conclusion(s): Machine learning could help clinicians evaluate fluid status in sepsis patients after fluid administration, thus preventing fluid overload-related complications.Copyright © 2019",2019,,Computer Methods and Programs in Biomedicine,177,,155-159,,http://dx.doi.org/10.1016/j.cmpb.2019.05.009,,#3144,Lin 2019,"",""
Recent temporal pattern mining for septic shock early prediction,"Khoshnevisan, F.; Ivy, J.; Capan, M.; Arnold, R.; Huddleston, J.; Chi, M.","Sepsis is a leading cause of in-hospital death over the world and septic shock, the most severe complication of sepsis, reaches a mortality rate as high as 50%. Early diagnosis and treatment can prevent most morbidity and mortality. In this work, Recent Temporal Patterns (RTPs) are used in conjunction with SVM classifier to build a robust yet interpretable model for early diagnosis of septic shock. This model is applied to two different prediction tasks: visit-level early diagnosis and event-level early prediction. For each setting, this model is compared against several strong baselines including atemporal method called Last-Value, six classic machine learning algorithms, and lastly, a state-of-the-art deep learning model: Long Short-Term Memory (LSTM). Our results suggest that RTP-based model can outperform all aforementioned baseline models for both diagnosis tasks. More importantly, the extracted interpretative RTPs can shed lights for the clinicians to discover progression behavior and latent patterns among septic shock patients. © 2018 IEEE.",2018,,"6th IEEE International Conference on Healthcare Informatics, ICHI 2018",,,229-240,,10.1109/ICHI.2018.00033,,#5614,Khoshnevisan 2018,"",""
An Adversarial Domain Separation Framework for Septic Shock Early Prediction across EHR Systems,"Khoshnevisan, F.; Chi, M.; Wu, X.; Jermaine, C.; Xiong, L.; Hu, X. T.; Kotevska, O.; Lu, S.; Xu, W.; Aluru, S.; Zhai, C.; Al-Masri, E.; Chen, Z.; Saltz, J.; Ankura, T. M.; Ibm,; Ieee,; Ieee Computer Society","Modeling patient disease progression using Electronic Health Records (EHRs) is critical to assist clinical decision making. While most of prior work has mainly focused on developing effective disease progression models using EHRs collected from an individual medical system, relatively little work has investigated building robust yet generalizable diagnosis models across different systems. In this work, we propose a general domain adaptation (DA) framework that tackles two categories of discrepancies in EHRs collected from different medical systems: one is caused by heterogeneous patient populations (covariate shift) and the other is caused by variations in data collection procedures (systematic bias). Prior research in DA has mainly focused on addressing covariate shift but not systematic bias. In this work, we propose an adversarial domain separation framework that addresses both categories of discrepancies by maintaining one globally-shared invariant latent representation across all systems through an adversarial learning process, while also allocating a domain-specific model for each system to extract local latent representations that cannot and should not be unified across systems. Moreover, our proposed framework is based on variational recurrent neural network (VRNN) because of its ability to capture complex temporal dependencies and handling missing values in time-series data. We evaluate our framework for early diagnosis of an extremely challenging condition, septic shock, using two real-world EHRs from distinct medical systems in the U.S. The results show that by separating globally-shared from domain-specific representations, our framework significantly improves septic shock early prediction performance in both EHRs and outperforms the current state-of-the-art DA models. © 2020 IEEE.",2020,,"8th IEEE International Conference on Big Data, Big Data 2020",,,64-73,,10.1109/BigData50022.2020.9378058,,#5856,Khoshnevisan 2020,"",""
Medical analysis and diagnosis by neural networks,"Brause, R. W.; Crespo, J.; Maojo, V.; Martin, F.","In its first part, this contribution reviews shortly the application of neural network methods to medical problems and characterizes its advantages and problems in the context of the medical background. Successful application examples show that human diagnostic capabilities are significantly worse than the neural diagnostic systems. Then, paradigm of neural networks is shortly introduced and the main problems of medical data base and the basic approaches for training and testing a network by medical data are described. Additionally, the problem of interfacing the network and its result is given and the neurofuzzy approach is presented. Finally, as case study of neural rule based diagnosis septic shock diagnosis is described, on one hand by a growing neural network and on the other hand by a rule based system. © Springer-Verlag Berlin Heidelberg 2001.",2001,,"2nd International Symposium on Medical Data Analysis, ISMDA 2001",2199,,1-13,,10.1007/3-540-45497-7_1,,#4920,Brause 2001,"Finneas Catling (2022-03-21 19:02:30)(Included): I've added another book chapter where they describe their methods in more detail; Matthieu Komorowski (2022-01-26 04:39:30)(Select): chapter 1 only, starts on page 12. an old school septic shock prediction.; ",""
Evaluating recommender systems for AI-driven biomedical informatics,"La Cava, William; Williams, Heather; Fu, Weixuan; Vitale, Steve; Srivatsan, Durga; Moore, Jason H.","MOTIVATION: Many researchers with domain expertise are unable to easily apply machine learning (ML) to their bioinformatics data due to a lack of ML and/or coding expertise. Methods that have been proposed thus far to automate ML mostly require programming experience as well as expert knowledge to tune and apply the algorithms correctly. Here, we study a method of automating biomedical data science using a web-based AI platform to recommend model choices and conduct experiments. We have two goals in mind: first, to make it easy to construct sophisticated models of biomedical processes; and second, to provide a fully automated AI agent that can choose and conduct promising experiments for the user, based on the user's experiments as well as prior knowledge. To validate this framework, we conduct an experiment on 165 classification problems, comparing to state-of-the-art, automated approaches. Finally, we use this tool to develop predictive models of septic shock in critical care patients. RESULT(S): We find that matrix factorization-based recommendation systems outperform metalearning methods for automating ML. This result mirrors the results of earlier recommender systems research in other domains. The proposed AI is competitive with state-of-the-art automated ML methods in terms of choosing optimal algorithm configurations for datasets. In our application to prediction of septic shock, the AI-driven analysis produces a competent ML model (AUROC 0.85+/-0.02) that performs on par with state-of-the-art deep learning results for this task, with much less computational effort. AVAILABILITY AND IMPLEMENTATION: PennAI is available free of charge and open-source. It is distributed under the GNU public license (GPL) version 3. SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics online.Copyright © The Author(s) 2020. Published by Oxford University Press.",2021,,"Bioinformatics (Oxford, England)",37,2,250-256,,http://dx.doi.org/10.1093/bioinformatics/btaa698,,#3789,LaCava 2021,"",""
Restricted sub-tree learning to estimate an optimal dynamic treatment regime using observational data,"Speth, Kelly; Wang, Lu","Dynamic treatment regimes (DTRs), consisting of a sequence of tailored treatment decision rules that span multiple stages of care, present a unique opportunity in our drive toward personalized medicine. Given that estimation of optimal DTRs is often exploratory and communication with clinicians is vital, robust and flexible methods that yield interpretable results are needed. Tree-based methods utilizing a purity measure defined on the full set of covariates have enjoyed much success in meeting this goal. Often, however, it is necessary for clinical, practical, or ethical reasons to restrict certain covariates that should be used when making treatment decisions. Herein we present restricted sub-tree learning (ReST-L), a flexible and robust, sub-tree-based method to estimate an optimal multi-stage multi-treatment DTR that enables restrictions to the set of prespecified candidate tailoring variables. ReST-L employs a purity measure derived from an augmented inverse probability weighted estimator for the counterfactual mean outcome, using observational data to build multi-stage decision trees that are restricted in sub-tree spaces defined by the corresponding prescriptive covariates. We show that ReST-L is able to correctly estimate the optimal DTR searching over a large number of variables with relatively small sample sizes and improves upon competing estimation methods. We demonstrate the utility of ReST-L to estimate a two-stage fluid resuscitation strategy for patients admitted to an intensive care unit with acute emergent sepsis.Copyright © 2021 John Wiley & Sons Ltd.",2021,,Statistics in Medicine,,,,,http://dx.doi.org/10.1002/sim.9155,,#3877,Speth 2021,"",""
Natural Language Processing of Clinical Notes for Improved Early Prediction of Septic Shock in the ICU,"Liu, Ran; Greenstein, Joseph L.; Sarma, Sridevi V.; Winslow, Raimond L.","Sepsis and septic shock are major concerns in public health as the leading contributors to hospital mortality and cost of treatment in the United States. Early treatment is instrumental for improving patient outcome; to this end, algorithmic methods for early prediction of septic shock have been developed using electronic health record data, with the goal of decreasing treatment delay. We extend a previously-developed method, using a gradient boosting algorithm (XG-Boost) to compute a time-evolving risk of impending transition into septic shock, by combining physiological data from the electronic health record with features obtained from natural language processing of clinical note data. We compare two different methods for generating natural language processing features, with the best method obtaining improved performance of 0.92 AUC, 84% sensitivity, 82% specificity, 49% positive predictive value, and a median early warning time of 7.0 hours. This degree of early warning is sufficient to enable intervention many hours in advance of septic shock onset, with the improved prediction performance of this method resulting in fewer false alarms and thus more actionable predictions.",2019,,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,2019,,6103-6108,,http://dx.doi.org/10.1109/EMBC.2019.8857819,,#3148,Liu 2019,"",""
An Empirical Study of Representation Learning for Reinforcement Learning in Healthcare,"Killian, Taylor W.; Zhang, Haoran; Subramanian, Jayakumar; Fatemi, Mehdi; Ghassemi, Marzyeh","Reinforcement Learning (RL) has recently been applied to sequential estimation and prediction problems identifying and developing hypothetical treatment strategies for septic patients, with a particular focus on offline learning with observational data. In practice, successful RL relies on informative latent states derived from sequential observations to develop optimal treatment strategies. To date, how best to construct such states in a healthcare setting is an open question. In this paper, we perform an empirical study of several information encoding architectures using data from septic patients in the MIMIC-III dataset to form representations of a patient state. We evaluate the impact of representation dimension, correlations with established acuity scores, and the treatment policies derived from them. We find that sequentially formed state representations facilitate effective policy learning in batch settings, validating a more thoughtful approach to representation learning that remains faithful to the sequential and partial nature of healthcare data.",2020,,,,,,,,,#69,Killian 2020,"",""
Inverse Reinforcement Learning in Contextual MDPs,"Belogolovsky, Stav; Korsunsky, Philip; Mannor, Shie; Tessler, Chen; Zahavy, Tom","We consider the task of Inverse Reinforcement Learning in Contextual Markov Decision Processes (MDPs). In this setting, contexts, which define the reward and transition kernel, are sampled from a distribution. In addition, although the reward is a function of the context, it is not provided to the agent. Instead, the agent observes demonstrations from an optimal policy. The goal is to learn the reward mapping, such that the agent will act optimally even when encountering previously unseen contexts, also known as zero-shot transfer. We formulate this problem as a non-differential convex optimization problem and propose a novel algorithm to compute its subgradients. Based on this scheme, we analyze several methods both theoretically, where we compare the sample complexity and scalability, and empirically. Most importantly, we show both theoretically and empirically that our algorithms perform zero-shot transfer (generalize to new and unseen contexts). Specifically, we present empirical experiments in a dynamic treatment regime, where the goal is to learn a reward function which explains the behavior of expert physicians based on recorded data of them treating patients diagnosed with sepsis.",2019,,,,,,,,,#34,Belogolovsky 2019,"",""
Machine learning for prediction of septic shock at initial triage in emergency department,"Kim, Joonghee; Kim, Doyun; Jang, Dong-Hyun; Park, Inwon; Chang, HyungLan; Kim, Kyuseok","Background: We hypothesized utilizing machine learning (ML) algorithms for screening septic shock in ED would provide better accuracy than qSOFA or MEWS. Method(s): The study population was adult (>=20 years) patients visiting ED for suspected infection. Target event was septic shock within 24 h after arrival. Demographics, vital signs, level of consciousness, chief complaints (CC) and initial blood test results were used as predictors. CC were embedded into 16-dimensional vector space using singular value decomposition. Six base learners including support vector machine, gradient-boosting machine, random forest, multivariate adaptive regression splines and least absolute shrinkage and selection operator and ridge regression and their ensembles were tested. We also trained and tested MLP networks with various setting. Result(s): A total of 49,560 patients were included and 4817 (9.7%) had septic shock within 24 h. All ML classifiers significantly outperformed qSOFA score, MEWS and their age-sex adjusted versions with their AUROC ranging from 0.883 to 0.929. The ensembles of the base classifiers showed the best performance and addition of CC embedding was associated with statistically significant increases in performance. Conclusion(s): ML classifiers significantly outperforms clinical scores in screening septic shock at ED triage.Copyright © 2019 Elsevier Inc.",2020,,Journal of Critical Care,55,,163-170,,http://dx.doi.org/10.1016/j.jcrc.2019.09.024,,#3496,Kim 2020,"",""
Improving Septic Shock Prediction with AdaBoost and Cox Regression Model,"Darwiche, A.; El-Geneidy, A.; Mukherjee, S.; Ieee,","Septic shock in the advanced state of sepsis, which is a dangerous organ dysfunction disease that happens when the body responds in a dysregulated way to infectious diseases. Sepsis is hard to discover early on, and is difficult to treat if not detected sooner, hence, leading to high mortality rates. The efforts to improve the methods for identifying septic shock is ongoing in the medical and computer science communities. This paper uses the MMIC-III database to create a model to effectively predict septic shock utilizing a combination of the Cox regression model and AdaBoost. The prediction model is constructed by acquiring a risk factor score using Cox regression on various septic shock indicators. The score was appended as a feature to a selected listing of indicators and the AdaBoost ensemble classifier was applied to deliver the model. The predictive accuracy of the Cox Enhanced AdaBoost (CEAB) model was compared to prominent models to evaluate its effectiveness. © 2021 IEEE.",2021,,"2021 IEEE International Conference on Consumer Electronics and Computer Engineering, ICCECE 2021",,,522-527,,10.1109/ICCECE51280.2021.9342457,,#5949,Darwiche 2021,"Finneas Catling (2022-03-23 07:01:18)(Included): An extension of Darwiche A, Mukherjee S. Machine Learning Methods for Septic Shock Prediction. In: Proceedings of the 2018 International Conference on Artificial Intelligence and Virtual Reality. New York, NY, USA: : Association for Computing Machinery 2018. 104–10. (also included); ",""
